quote_id,quote_text,author_name,categories,word_count,character_count,collection_date,source_page
Q0001,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",21,115,2025-08-18 17:53:21,Page 1
Q0002,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",16,85,2025-08-18 17:53:21,Page 1
Q0003,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",26,131,2025-08-18 17:53:21,Page 1
Q0004,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",19,104,2025-08-18 17:53:21,Page 1
Q0005,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",16,111,2025-08-18 17:53:21,Page 1
Q0006,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",14,67,2025-08-18 17:53:21,Page 1
Q0007,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",19,82,2025-08-18 17:53:21,Page 1
Q0008,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",12,65,2025-08-18 17:53:21,Page 1
Q0009,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,19,85,2025-08-18 17:53:21,Page 1
Q0010,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",9,50,2025-08-18 17:53:21,Page 1
Q0011,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",21,115,2025-08-18 17:53:22,Page 2
Q0012,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",16,85,2025-08-18 17:53:22,Page 2
Q0013,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",26,131,2025-08-18 17:53:22,Page 2
Q0014,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",19,104,2025-08-18 17:53:22,Page 2
Q0015,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",16,111,2025-08-18 17:53:22,Page 2
Q0016,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",14,67,2025-08-18 17:53:22,Page 2
Q0017,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",19,82,2025-08-18 17:53:22,Page 2
Q0018,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",12,65,2025-08-18 17:53:22,Page 2
Q0019,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,19,85,2025-08-18 17:53:22,Page 2
Q0020,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",9,50,2025-08-18 17:53:22,Page 2
Q0021,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",21,115,2025-08-18 17:53:23,Page 3
Q0022,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",16,85,2025-08-18 17:53:23,Page 3
Q0023,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",26,131,2025-08-18 17:53:23,Page 3
Q0024,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",19,104,2025-08-18 17:53:23,Page 3
Q0025,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",16,111,2025-08-18 17:53:23,Page 3
Q0026,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",14,67,2025-08-18 17:53:23,Page 3
Q0027,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",19,82,2025-08-18 17:53:23,Page 3
Q0028,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",12,65,2025-08-18 17:53:23,Page 3
Q0029,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,19,85,2025-08-18 17:53:23,Page 3
Q0030,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",9,50,2025-08-18 17:53:23,Page 3
